rank_overall,rank_in_order,Common name,Order,Family,Abundance estimate,Scientific name,normalized_sci_name,species_code,sum_abundance_mean,first_abundance
53,4,Common Ground-Dove,Columbiformes,Columbidae (Pigeons and Doves),89936706,Columbina passerina,columbinapasserina,cogdov,0.0287,0.0287
54,7,Herring Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",89542122,Larus argentatus,larusargentatus,hergul,0.6627000000000001,0.1661
55,39,Indigo Bunting,Passeriformes,Cardinalidae (Cardinals and Allies),87201014,Passerina cyanea,passerinacyanea,indbun,1.112,0.5804
56,4,Canada Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",87184210,Branta canadensis,brantacanadensis,cangoo,18.2369,1.0064
57,8,White-rumped Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),84606359,Calidris fuscicollis,calidrisfuscicollis,whrsan,0.0506,0
58,5,Snow Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",83913086,Anser caerulescens,ansercaerulescens,snogoo,41.9799,0.0146
59,40,Arctic Warbler,Passeriformes,Phylloscopidae (Leaf Warblers),83250665,Phylloscopus borealis,phylloscopusborealis,arcwar1,0.018899999999999997,0.0107
60,41,House Finch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",82119779,Haemorhous mexicanus,haemorhousmexicanus,houfin,0.9477,0.9477
61,42,Townsend's Warbler,Passeriformes,Parulidae (New World Warblers),81482333,Setophaga townsendi,setophagatownsendi,towwar,0.0956,0.0262
62,43,Varied Thrush,Passeriformes,Turdidae (Thrushes and Allies),81301690,Ixoreus naevius,ixoreusnaevius,varthr,0.18969999999999998,0.0339
63,9,Semipalmated Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),78862750,Calidris pusilla,calidrispusilla,semsan,0.2583,0.0372
64,6,Greater White-fronted Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",77365597,Anser albifrons,anseralbifrons,gwfgoo,5.1972000000000005,0.0897
65,44,American Goldfinch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",76926921,Spinus tristis,spinustristis,amegfi,3.832,0.8642
66,10,Dunlin,Charadriiformes,Scolopacidae (Sandpipers and Allies),74082180,Calidris alpina,calidrisalpina,dunlin,0.5384,0.018
67,1,Black Vulture,Cathartiformes,Cathartidae (New World Vultures),73934521,Coragyps atratus,coragypsatratus,blkvul,0.5916,0.5916
68,45,Common Yellowthroat,Passeriformes,Parulidae (New World Warblers),73754462,Geothlypis trichas,geothlypistrichas,comyel,1.0843,0.556
69,46,Eastern Phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers),73428328,Sayornis phoebe,sayornisphoebe,easpho,0.8119000000000001,0.1873
70,47,Hermit Thrush,Passeriformes,Turdidae (Thrushes and Allies),73129157,Catharus guttatus,catharusguttatus,herthr,0.46040000000000003,0.1211
71,48,Cedar Waxwing,Passeriformes,Bombycillidae (Waxwings),72905406,Bombycilla cedrorum,bombycillacedrorum,cedwax,2.718,0.4877
72,11,Laughing Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",71587859,Leucophaeus atricilla,leucophaeusatricilla,laugul,0.9672999999999999,0.3266
73,2,Turkey Vulture,Cathartiformes,Cathartidae (New World Vultures),70786507,Cathartes aura,cathartesaura,turvul,4.1744,1.1365
74,49,Gray-cheeked Thrush,Passeriformes,Turdidae (Thrushes and Allies),70534687,Catharus minimus,catharusminimus,gycthr,0.1139,0.0452
75,50,Black-throated Sparrow,Passeriformes,Passerellidae (New World Sparrows),70333300,Amphispiza bilineata,amphispizabilineata,bktspa,0.3423,0.1073
76,51,Wilson's Warbler,Passeriformes,Parulidae (New World Warblers),63781688,Cardellina pusilla,cardellinapusilla,wlswar,0.48710000000000003,0.0808
77,52,Blue Grosbeak,Passeriformes,Cardinalidae (Cardinals and Allies),63575766,Passerina caerulea,passerinacaerulea,blugrb1,0.3734,0.2199
78,12,Red Knot,Charadriiformes,Scolopacidae (Sandpipers and Allies),62640390,Calidris canutus,calidriscanutus,redkno,0.023100000000000002,0.0021
79,53,Clay-colored Sparrow,Passeriformes,Passerellidae (New World Sparrows),62584333,Spizella pallida,spizellapallida,clcspa,0.308,0.0946
80,54,Eastern Bluebird,Passeriformes,Turdidae (Thrushes and Allies),60548459,Sialia sialis,sialiasialis,easblu,1.7654,0.3234
81,55,Common Myna,Passeriformes,Sturnidae (Starlings),59142818,Acridotheres tristis,acridotherestristis,commyn,0.0072,0.0072
82,56,Prairie Warbler,Passeriformes,Parulidae (New World Warblers),59013734,Setophaga discolor,setophagadiscolor,prawar,0.1124,0.0454
83,1,American Coot,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",58912804,Fulica americana,fulicaamericana,y00475,3.8284000000000002,0.5237
84,13,Lesser Black-backed Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",58600962,Larus fuscus,larusfuscus,lbbgul,0.0027,2e-4
85,14,Ruddy Turnstone,Charadriiformes,Scolopacidae (Sandpipers and Allies),57976203,Arenaria interpres,arenariainterpres,rudtur,0.0432,0.0046
86,2,Great Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",57358864,Ardea alba,ardeaalba,greegr,0.7893,0.3331
87,7,Green-winged Teal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",56760899,Anas crecca,anascrecca,gnwtea,1.6885,0.0794
88,15,Pacific Golden-Plover,Charadriiformes,Charadriidae (Plovers and Lapwings),54842893,Pluvialis fulva,pluvialisfulva,pagplo,0.0132,0.0022
89,57,Eastern Kingbird,Passeriformes,Tyrannidae (Tyrant Flycatchers),54090449,Tyrannus tyrannus,tyrannustyrannus,easkin,0.7825,0.3904
90,16,Least Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),52765802,Calidris minutilla,calidrisminutilla,leasan,0.5670000000000001,0.0208
91,17,Black-bellied Plover,Charadriiformes,Charadriidae (Plovers and Lapwings),52525654,Pluvialis squatarola,pluvialissquatarola,bkbplo,0.08360000000000001,0.0091
92,8,Eurasian Wigeon,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",52349060,Mareca penelope,marecapenelope,eurwig,0.0012000000000000001,3e-4
93,18,Whimbrel,Charadriiformes,Scolopacidae (Sandpipers and Allies),52205963,Numenius phaeopus,numeniusphaeopus,whimbr,0.0692,0.0201
94,58,Northern Parula,Passeriformes,Parulidae (New World Warblers),49962873,Setophaga americana,setophagaamericana,norpar,0.28590000000000004,0.0963
95,59,Bank Swallow,Passeriformes,Hirundinidae (Swallows),49357199,Riparia riparia,ripariariparia,banswa,0.48929999999999996,0.1795
96,19,Pectoral Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),49292095,Calidris melanotos,calidrismelanotos,pecsan,0.27690000000000003,0.0215
97,60,Eurasian Tree Sparrow,Passeriformes,Passeridae (Old World Sparrows),47643490,Passer montanus,passermontanus,eutspa,0.0047,0.0047
