common_name,order,family,abundance_estimate_pnas,scientific_name,normalized_sci_name,species_code,abundance_estimate_ebird,rank_overall,rank_in_order,rank_in_family,not_in_usa,top_5_in_order,top_100_birds
Northern Pintail,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",98587756,Anas acuta,anasacuta,norpin,2.2798,45,2,2,FALSE,TRUE,TRUE
Snow Bunting,Passeriformes,Calcariidae (Longspurs and Snow Buntings),98146299,Plectrophenax nivalis,plectrophenaxnivalis,snobun,0.6371,46,33,2,FALSE,FALSE,TRUE
White-crowned Sparrow,Passeriformes,Passerellidae (New World Sparrows),98005211,Zonotrichia leucophrys,zonotrichialeucophrys,whcspa,2.9957000000000003,47,34,7,FALSE,FALSE,TRUE
Magnolia Warbler,Passeriformes,Parulidae (New World Warblers),93097116,Setophaga magnolia,setophagamagnolia,magwar,0.1338,48,35,3,FALSE,FALSE,TRUE
American Crow,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",91840173,Corvus brachyrhynchos,corvusbrachyrhynchos,amecro,5.0036000000000005,49,36,1,FALSE,FALSE,TRUE
Ring-necked Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",91130489,Aythya collaris,aythyacollaris,rinduc,0.6388,50,3,3,FALSE,TRUE,TRUE
Pine Siskin,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",90433461,Spinus pinus,spinuspinus,pinsis,1.8967,51,37,3,FALSE,FALSE,TRUE
White-eyed Vireo,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",90305148,Vireo griseus,vireogriseus,whevir,0.5659000000000001,52,38,2,FALSE,FALSE,TRUE
Common Ground-Dove,Columbiformes,Columbidae (Pigeons and Doves),89936706,Columbina passerina,columbinapasserina,cogdov,0.0287,53,4,4,FALSE,TRUE,TRUE
Herring Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",89542122,Larus argentatus,larusargentatus,hergul,0.6627000000000001,54,7,6,FALSE,FALSE,TRUE
Indigo Bunting,Passeriformes,Cardinalidae (Cardinals and Allies),87201014,Passerina cyanea,passerinacyanea,indbun,1.112,55,39,2,FALSE,FALSE,TRUE
Canada Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",87184210,Branta canadensis,brantacanadensis,cangoo,18.2369,56,4,4,FALSE,TRUE,TRUE
White-rumped Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),84606359,Calidris fuscicollis,calidrisfuscicollis,whrsan,0.0506,57,8,2,FALSE,FALSE,TRUE
Snow Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",83913086,Anser caerulescens,ansercaerulescens,snogoo,41.9799,58,5,5,FALSE,TRUE,TRUE
Arctic Warbler,Passeriformes,Phylloscopidae (Leaf Warblers),83250665,Phylloscopus borealis,phylloscopusborealis,arcwar1,0.018899999999999997,59,40,1,FALSE,FALSE,TRUE
House Finch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",82119779,Haemorhous mexicanus,haemorhousmexicanus,houfin,0.9477,60,41,4,FALSE,FALSE,TRUE
Townsend's Warbler,Passeriformes,Parulidae (New World Warblers),81482333,Setophaga townsendi,setophagatownsendi,towwar,0.0956,61,42,4,FALSE,FALSE,TRUE
Varied Thrush,Passeriformes,Turdidae (Thrushes and Allies),81301690,Ixoreus naevius,ixoreusnaevius,varthr,0.18969999999999998,62,43,3,FALSE,FALSE,TRUE
Semipalmated Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),78862750,Calidris pusilla,calidrispusilla,semsan,0.2583,63,9,3,FALSE,FALSE,TRUE
Greater White-fronted Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",77365597,Anser albifrons,anseralbifrons,gwfgoo,5.1972000000000005,64,6,6,FALSE,FALSE,TRUE
American Goldfinch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",76926921,Spinus tristis,spinustristis,amegfi,3.832,65,44,5,FALSE,FALSE,TRUE
Dunlin,Charadriiformes,Scolopacidae (Sandpipers and Allies),74082180,Calidris alpina,calidrisalpina,dunlin,0.5384,66,10,4,FALSE,FALSE,TRUE
